"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Austria","11239.438","12265.865","13255.559","14202.815","14762.552","15560.611","16228.439","16886.751","17627.839","18985.956","20416.674","21646.461","22348.254","22754.353","23659.802","24739.285","25761.663","26724.236","27962.227","29317.699","30910.42","31866.404","32743.01","33515.238","35137.275","36793.27","39013.725","41418.609","42705.185","41311.816","42461.29","44469.2","46477.668","47936.679","48813.542","49955.465","52659.772","54390.55","56683.676","58684.546","55218.46","57890.508","61262.605","63770.086","66076.794","68247.051","70427.083"
"Azerbaijan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4393.995","3446.082","2786.304","2459.088","2540.009","2786.807","2958.303","3310.773","3560.011","3835.127","4223.394","4696.36","5218.659","6805.743","9311.867","11840.395","13176.118","14288.615","15020.746","14905.289","16062.577","17299.725","17550.596","15026.136","14448.333","14184.792","14612.078","15075.895","14430.858","14856.088","15266.357","15689.465","16099.669","16501.789","16901.119"
"Bahamas, The","12585.747","13126.926","14477.829","15709.225","16302.811","17281.601","17781.302","18580.282","19267.884","20138.641","20762.219","20223.039","19552.509","19734.068","20434.627","21335.112","22260.297","23368.584","24341.666","26032.157","27280.291","28187.721","28984.543","28741.403","29370.256","30899.534","32239.952","33184.242","32658.459","31174.826","31669.742","32170.209","33251.607","32854.003","34116.5","34342.088","35050.611","37211.836","38824.773","39557.404","33148.146","34046.193","37360.104","39295.55","41062.699","42150.934","43103.348"
"Bahrain","20801.758","22503.722","24534.478","26379.098","27546.91","27216.309","26947.818","26337.177","27885.944","28254.555","30076.745","30532.742","32907.552","35307.502","36253.002","36745.121","37629.855","38158.356","39407.049","41262.056","43970.07","44400.843","43383.625","43655.909","44512.632","45417.764","46104.29","47378.634","48197.941","46760.506","47111.85","50673.371","54489.154","54035.418","51938.108","45626.703","44833.968","47486.023","49397.641","51948.07","48765.979","50284.407","52001.467","53736.769","55430.142","57114.138","58803.344"
"Bangladesh","511.752","576.084","615.007","651.399","685.014","714.176","737.885","758.096","782.989","827.515","876.443","922.471","966.958","1010.519","1055.837","1105.543","1157.306","1213.805","1262.872","1323.51","1401.236","1473.132","1540.64","1631.403","1749.173","1889.066","2051.744","2216.836","2357.432","2473.874","2623.938","2820.247","3137.639","3333.284","3583.72","3810.078","4118.938","4450.313","4870.943","5330.045","5307.243","5811.571","6323.177","6874.891","7464.85","8094.066","8759.251"
"Barbados","6007.117","6427.933","6471.208","6740.291","7215.782","7504.393","8020.451","8403.871","8972.838","9625.668","9622.4","9526.909","9156.765","9416.202","9775.201","10145.814","10701.669","11359.391","11872.232","12039.236","12812.378","12743.834","13009.754","13500.274","14015.867","14975.115","16241.837","16976.829","17354.298","16530.412","16276.22","16443.726","15425.321","15432.539","15252.103","15571.249","15996.873","15817.713","16062.311","16291.664","13552.686","14329.087","15741.811","16827.81","17599.306","18229.165","18865.091"
"Belarus","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5274.838","5385.159","4968.411","4689.024","4233.778","3862.686","4056.542","4620.622","5091.304","5351.878","5803.488","6231.113","6687.523","7341.975","8460.625","9613.723","10971.005","12303.863","13880.527","14051.068","15346.861","16529.385","18070.541","18952.467","18968.943","18057.638","17732.348","18267.244","19319.24","19984.356","20187.326","20577.586","21319.377","22182.147","23255.082","24155.562","25089.248"
"Belgium","10780.839","11757.994","12569.963","13098.428","13912.843","14583.008","15145.95","15869.141","17185.632","18382.422","19628.812","20583.569","21300.232","21495.803","22590.768","23544.683","24262.721","25548.933","26286.373","27552.585","29143.146","30038.465","30895.128","31653.885","33535.47","35215.555","36975.114","39092.51","39722.124","38901.646","40158.028","41082.422","42409.301","43755.157","45043.18","46365.188","48679.68","50719.829","52661.524","54265.288","51096.132","53972.622","56657.911","58919.696","60884.907","62677.284","64499.46"
"Belize","1377.328","1507.852","1453.059","1557.948","1749.298","1730.854","1840.983","2242.478","2523.379","2950.609","3308.682","3714.505","4151.231","4384.092","4339.495","4348.137","4379.446","4452.751","4503.369","4875.74","5441.205","5735.411","5949.942","6460.011","6775.485","6940.746","7304.197","7343.588","7545.06","7329.271","7554.554","7632.184","7203.966","7134.555","7077.604","7101.524","6991.224","6872.664","7056.565","7124.404","6046.025","6133.333","6541.497","6833.056","6976.102","7113.217","7246.698"
"Benin","985.968","1063.194","1113.655","1098.405","1107.704","1154.014","1172.064","1140.745","1183.111","1160.184","1271.436","1324.489","1347.054","1409.241","1418.955","1486.51","1530.289","1596.85","1629.847","1675.25","1759.72","1837.801","1895.003","1936.882","2015.637","2052.522","2135.261","2258.493","2347.92","2353.633","2364.117","2416.327","2498.497","2669.69","2833.412","2886.832","3004.809","3044.514","3235.217","3422.706","3436.722","3572.947","3767.479","3992.645","4223.878","4462.195","4703.862"
