"GDP per capita","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"Fiji","2699.398","3057.58","3129.127","3037.527","3392.294","3315.395","3572.191","3383.728","3620.155","4200.743","4573.585","4563.75","4913.134","5119.619","5452.619","5667.352","6001.554","5915.373","6016.153","6586.631","6572.469","6796.059","7074.701","7213.312","7753.697","7837.245","8171.906","8259.761","8463.687","8368.549","8678.483","9055.823","9659.87","10378.816","11357.905","12400.559","12563.271","13316.586","14078.132","14186.956","11566.584","12298.016","13632.647","14765.208","15710.736","16520.619","17291.116"
"Finland","9555.096","10557.932","11497.859","12245.966","13019.863","13838.82","14452.333","15290.254","16610.624","18082.304","18723.019","18129.071","17822.505","18030.841","19059.364","20196.657","21245.379","22911.345","24362.266","25734.925","27766.417","29060.667","29944.712","31043.855","33066.913","34931.725","37303.185","40171.855","41091.024","37876.573","39353.17","41015.786","40969.209","41587.16","41835.88","42569.551","44995.383","47621.51","49316.487","50791.483","49853.326","51866.78","54334.58","56379.685","58282.602","60197.949","62127.344"
"France","10769.723","11849.117","12823.733","13413.556","14045.019","14654.305","15228.619","15927.301","17183.322","18532.177","19680.445","20463.961","21164.61","21432.792","22330.456","23203.388","23886.266","24788.801","25885.936","27066.4","28580.487","29581.45","30177.166","30776.093","32282.19","33587.176","35199.203","36784.286","37389.826","36398.563","37361.383","38789.621","39036.959","40951.508","41576.105","42289.109","44421.744","46369.701","48215.729","49696.096","46061.96","49492.134","52601.309","54557.589","56367.736","58095.775","59753.785"
"Gabon","8872.132","9122.378","9866.126","10232.522","10881.845","11621.456","11356.607","9633.386","10099.969","11854.75","12653.265","13448.43","12926.395","13429.331","13878.367","14511.346","14939.257","15676.999","16004.699","14423.224","14115.063","14375.325","14273.191","14424.9","14613.772","14585.795","14380.961","15245.128","15232.078","14449.326","14965.594","15762.728","15487.112","15234.598","15499.573","14834.214","14490.228","15302.638","15587.772","16271.87","15970.052","16243.907","16853.702","17616.587","18414.545","19265.835","20164.056"
"Gambia, The","1205.854","1124.798","1390.767","1577.516","1450.57","1490.113","1494.901","1512.895","1530.322","1594.012","1679.181","1703.838","1703.718","1710.773","1631.404","1668.883","1697.889","1675.666","1749.874","1831.041","1914.576","2004.667","1908.265","2011.894","2142.753","2091.546","2078.639","2134.518","2244.498","2341.676","2434.89","2215.751","2199.788","2121.486","2027.031","2066.859","2068.743","2072.652","2209.883","2315.808","2275.495","2384.38","2521.04","2678.031","2826.985","2960.749","3092.878"
"Georgia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4144.004","2329.363","1724.226","1711.01","1863.207","2174.065","2534.526","2716.932","2897.386","3075.812","3359.021","3640.599","4144.741","4535.09","5151.868","5851.084","6790.772","7136.536","6962.095","7540.893","8322.29","9798.666","10609.666","11583.412","12100.141","12854.714","13595.578","14583.777","15612.859","14917.601","15708.834","16980.292","18318.62","19692.688","21150.158","22694.632"
"Germany","11142.727","12187.427","12847.629","13605.804","14553.922","15381.35","16059.256","16695.247","17821.136","19054.156","20505.453","21976.1","22758.511","22942.952","23935.572","24764.928","25374.699","26258.956","27112.314","28030.926","29477.216","30609.034","31007.636","31372.871","32635.943","33946.502","36380.611","38557.944","39797.265","37948.584","40096.555","42541.379","43359.405","44993.528","47011.283","47622.332","50574.374","53254.662","55058.922","56226.224","54075.675","56955.572","60169.915","62448.177","64666.915","66704.388","68732.345"
"Ghana","1194.784","1228.88","1171.13","1114.19","1181.947","1270.554","1342.887","1435.067","1547.324","1642.077","1723.795","1824.105","1901.494","1990.677","2054.531","2133.468","2220.566","2332.196","2415.8","2499.12","2456.902","2541.167","2634.774","2752.98","2908.923","3110.258","3312.462","3460.786","3758.32","3908.992","4046.538","4605.212","5120.733","5285.168","5480.807","5143.532","4917.354","5028.024","5357.428","5688.213","5692.643","5967.637","6313.843","6576.906","6833.953","7253.354","7595.525"
"Greece","8799.719","9368.362","9777.284","9985.888","10499.373","11050.616","11297.396","11274.508","12135.476","13035.411","13439.407","14113.222","14403.049","14419.779","14937.839","15503.171","16158.617","17108.131","17867.073","18587.068","19696.487","20843.144","21897.96","23537.53","25337.466","26212.496","28441.784","30076.701","30489.973","29311.654","27950.479","25628.806","24819.214","25857.317","26558.201","26636.828","27448.689","28558.301","29774.608","30916.551","28748.181","30494.844","32876.598","34549.83","35957.474","37351.925","38727.654"
"Grenada","2160.306","2355.457","2533.205","2637.377","2770.086","2983.937","3260.487","3672.062","3964.223","4327.14","4708.798","4930.471","4965.873","4929.654","5070.102","5240.445","5530.91","5870.08","6607.442","7142.366","7641.274","7620.774","7977.02","8862.702","9012.672","10495.536","10353.705","11256.618","11554.19","10838.445","10863.492","11116.743","11163.804","11887.335","13042.04","14151.894","15025.684","16217.5","17186.493","17720.831","15431.015","15385.312","16453.567","17581.635","18496.692","19269.367","20056.804"
"Guatemala","2663.093","2861.068","2857.588","2822.361","2865.697","2865.072","2852.555","2952.37","3097.059","3263.856","3407.395","3544.353","3703.901","3829.785","3955.493","4120.449","4216.886","4366.648","4516.924","4645.821","4758.287","4864.855","5031.769","5136.639","5305.695","5509.869","5858.43","6238.473","6448.655","6397.36","6510.621","6794.129","7017.645","7182.918","7457.752","7849.06","7847.52","7908.46","8192.332","8486.94","8292.577","8648.04","9014.571","9351.182","9684.424","10016.971","10351.897"
"Guinea","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","931.535","935.544","932.054","945.862","954.173","977.727","1006.956","1051.2","1080.83","1119.217","1153.402","1201.322","1262.016","1279.043","1319.128","1372.206","1416.11","1510.609","1562.15","1509.102","1549.721","1628.172","1615.264","1679.892","1673.193","1684.804","1928.237","2252.157","2389.055","2506.308","2604.139","2730.651","2867.239","3003.62","3139.978","3278.321","3419.77"
"Guinea-Bissau","562.384","599.93","650.099","639.168","684.285","721.139","713.32","757.133","783.546","821.504","873.593","947.597","977.018","1000.294","1028.787","1068.699","1104.6","1165.397","894.48","1037.5","1049.758","1100.539","1134.548","1128.185","1147.494","1234.159","1277.623","1316.688","1372.52","1385.306","1468.87","1585.903","1512.939","1530.465","1575.757","1873.62","1976.07","2253.422","2333.673","2428.79","2347.589","2409.08","2506.43","2635.174","2765.953","2900.846","3040.931"
"Guyana","2471.226","2714.747","2628.048","2424.131","2577.539","2685.356","2754.366","2844.684","2793.859","2794.056","2834.804","3115.937","3433.235","3793.318","4185.479","4464.554","4887.816","5250.837","5198.053","5408.527","5440.329","5676.418","5832.946","5907.054","6164.206","6229.958","6733.923","7380.43","7652.182","7934.583","8355.64","8958.292","10443.668","10998.334","10942.789","11204.623","11268.43","11964.644","12724.596","13604.231","19683.729","23258.32","34737.308","46238.229","48438.784","50764.143","53132.146"
"Haiti","1634.992","1776.465","1801.156","1811.067","1846.922","1885.744","1894.752","1898.919","1953.674","1967.24","1990.949","2046.319","2006.566","1913.581","1691.074","1861.675","1938.557","1989.155","2019.237","2067.394","2095.539","2098.388","2115.577","2190.726","2185.864","2297.843","2370.152","2528.654","2600.305","2742.472","2628.276","2805.726","2762.44","2872.19","2897.215","2903.36","3025.733","2980.961","3064.155","3028.311","2915.518","2962.184","3023.22","3089.185","3155.329","3222.947","3293.321"
"Honduras","1393.654","1515.639","1539.183","1537.021","1611.715","1680.227","1676.155","1768.151","1859.103","1958.766","1976.702","2050.715","2153.711","2277.084","2231.465","2304.727","2362.307","2451.727","2479.609","2427.922","2591.332","2648.81","2720.276","2824.611","3006.695","3210.348","3443.769","3671.334","3816.843","3674.229","3778.463","3928.268","4032.581","4142.24","4452.583","4823.389","5146.017","5557.931","5799.886","5955.318","5449.575","5698.473","5915.84","6151.183","6396.18","6649.009","6919.114"
"Hong Kong SAR","7088.585","8276.25","8903.764","9643.956","10827.657","11107.838","12441.991","14375.976","15938.14","16777.768","17992.286","19447.408","20871.306","22273.097","23643.651","24118.472","25002.675","26525.385","24990.209","25774.342","28057.436","28753.043","29711.711","31011.338","34446.234","37919.646","41411.938","45051.084","46732.837","45717.83","48990.618","51998.781","52082.354","53453.568","54604.905","56266.944","56907.27","59676.476","62233.386","62266.872","59519.711","62838.914","66332.496","69351.671","72344.841","75459.635","78675.13"
"Hungary","6332.527","7133.007","7796.741","8178.455","8724.378","9012.805","9369.801","10038.671","10430.66","10964.176","11025.845","10044.827","9958.475","10144.109","10681.542","11197.04","11429.155","12014.951","12649.838","13261.417","14208.091","15143.836","16152.386","17180.05","18539.136","19965.304","21443.288","22096.801","22812.558","21476.423","22007.786","22966.957","23179.062","24459.302","25615.216","26749.404","27863.485","29801.549","32232.407","34327.386","33029.517","35088.327","38011.305","40360.397","42536.947","44514.369","46543.069"
"Iceland","10939.513","12355.696","13236.976","13267.767","14141.305","14931.791","16080.796","17743.64","18100.528","18532.592","19307.985","19754.351","19232.671","19744.802","20683.055","20989.814","22268.619","23789.933","25591.297","26679.333","28292.973","29616.281","29913.87","30917.667","33980.019","36803.473","39463.755","42838.65","43534.937","40009.226","39544.023","41009.124","42154.444","44672.803","46239.206","49470.734","53942.986","56944.804","59291.274","60419.215","55965.786","58151.397","60660.429","62577.597","64491.998","67357.643","70335.256"
"India","532.628","603.841","648.165","706.068","742.259","787.96","823.719","858.606","953.769","1028.178","1102.555","1128.632","1193.493","1254.835","1340.664","1444.469","1552.269","1612.558","1699.994","1837.018","1918.512","2022.263","2098.764","2269.763","2473.538","2743.708","3041.243","3377.674","3525.323","3799.447","4181.241","4493.667","4861.145","5057.217","5233.869","5464.858","5839.899","6183.004","6675.486","6991.81","6461.009","7332.896","7943.347","8597.058","9280.666","10002.152","10764.122"
"Indonesia","1287.674","1487.286","1583.359","1681.128","1837.399","1931.367","2070.946","2217.8","2408.64","2677.547","2969.12","3289.052","3524.978","3832.029","4140.292","4499.951","4884.186","5142.524","4466.18","4514.374","4789.742","5001.799","5234.892","5508.441","5857.781","6294.315","6745.337","7262.468","7842.84","8157.859","8655.818","9213.212","9833.69","10188.332","10398.96","10359.28","10618.699","11073.521","11799.439","12482.807","12221.919","12882.492","13806.511","14782.334","15758.88","16757.055","17808.08"
"Iran","6276.039","6045.707","6986.628","7949.893","7143.754","6946.222","6203.508","6388.525","5842.183","6233.752","7452.873","8330.086","8573.731","8758.534","8684.956","8828.199","9410.592","9362.007","9487.738","9494.074","10200.465","10334.088","11399.538","12491.213","13186.502","13819.643","14715.201","16143.622","16293.414","16372.283","17296.293","17885.45","15845.613","15182.52","15040.678","13420.212","13855.486","14402.194","13701.558","12858.061","13073.18","13513.469","13975.374","14443.163","14906.858","15365.232","15825.088"
"Iraq","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6262.834","9600.831","9807.054","10412.237","10637.444","11461.767","11649.144","12215.761","13075.221","14843.033","15414.282","14027.484","10493.948","9592.605","10916.391","10980.023","11378.737","10002.965","10037.82","10443.42","11036.644","11468.329","11765.221","12068.207"
"Ireland","7439.393","8245.018","8791.845","9007.404","9563.254","10026.605","10270.074","10889.105","11663.041","12878.11","14405.395","15051.631","15816.521","16475.086","17759.979","19786.849","21830.747","24337.475","26501.085","29242.765","32043.34","34045.535","35976.544","37388.924","40062.97","42649.291","44850.138","47141.301","45161.943","42927.002","43860.154","44841.74","46214.871","47757.49","50963.416","68972.623","71323.064","78299.41","86273.122","91812.025","94391.533","99238.602","105396.015","110717.139","115102.945","119360.972","123615.664"
"Israel","7200.774","8195.61","8670.318","9050.631","9462.35","10018.102","10420.665","11294.077","11910.596","12340.71","13235.76","13479.603","14262.427","14760.744","15727.295","17139.836","17889.445","18447.12","18967.723","19441.118","21064.318","21043.137","20918.681","21162.158","22374.536","23583.884","25243.468","27010.699","27914.208","27724.862","29067.735","30497.632","31706.227","34166.981","34282.169","35487.697","37815.806","38918.094","40451.966","41785.561","40547.288","42570.201","44574.293","46465.429","48220.231","49849.582","51427.579"
"Italy","10907.792","11986.95","12737.307","13349.379","14247.251","15076.926","15794.587","16682.621","17962.061","19259.868","20360.541","21333.337","21966.1","22279.815","23218.908","24340.878","25100.675","25986.127","26741.25","27566.109","29242.143","30446.733","30986.186","31494.135","32560.617","33593.016","35077.31","36415.554","36458.871","34554.01","35401.899","36248.529","36105.26","36148.851","36198.761","36869.825","39897.892","41748.256","43228.466","44217.623","40861.285","43375.679","45994.81","47802.262","49272.659","50683.077","52074.52"
"Jamaica","2914.524","3272.64","3521.958","3737.089","3899.925","3927.495","4248.824","4655.298","4599.921","4995.186","5340.791","5531.008","5770.918","5988.609","6176.767","6406.955","6478.657","6419.693","6350.927","6443.649","6578.049","6749.006","6862.451","7220.169","7485.767","7760.121","8197.548","8509.113","8573.221","8314.634","8261.758","8531.299","8586.347","8895.191","9046.918","9346.692","9817.681","10286.743","10706.193","10990.537","9975.179","10294.061","11114.512","11849.023","12451.152","12961.883","13479.39"
"Japan","9157.106","10369.573","11295.467","12067.85","12981.403","14005.306","14684.106","15683.569","17265.109","18740.242","20325.054","21644.649","22246.95","22582.968","23202.682","24250.443","25412.694","26042.475","25931.555","26168.786","27440.426","28083.867","28480.102","29400.287","30827.652","32356.807","33795.061","35214.855","35478.318","33751.01","35531.311","36215.055","37628.757","39436.811","39604.122","40959.265","40640.541","41408.954","42724.646","43710.261","42248.002","44585.172","46938.027","48760.128","50358.884","51895.14","53403.704"
"Jordan","3522.455","4289.91","4609.189","4607.177","4835.367","4732.949","4897.217","4963.148","5044.031","4452.101","4450.776","4471.259","4900.108","4900.372","5010.609","5234.384","5202.465","5386.041","5515.584","5653.531","5922.353","6235.364","6656.888","6903.247","7472.464","8092.643","8741.063","9288.438","9663.723","9729.885","9564.54","9511.743","9301.16","9439.23","9295.184","9575.53","9544.298","10089.53","10317.333","10530.381","10305.601","10590.291","11031.537","11554.589","12110.616","12677.491","13259.321"
"Kazakhstan","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","7066.408","6625.973","6328.007","5977.906","6194.945","6532.285","6581.22","6881.218","7743.174","8990.017","10016.619","11088.519","12377.866","13868.512","15634.622","17287.464","17737.227","17840.347","19086.347","20634.012","21878.29","24325.775","24545.572","23057.074","23653.798","24699.301","25988.235","27292.246","26564.615","27559.542","28940.609","30617.247","31942.67","33294.32","34973.058"
"Kenya","991.164","1088.791","1171.895","1194.773","1216.003","1263.666","1336.238","1398.143","1483.682","1559.342","1638.628","1663.798","1632.979","1621.576","1650.192","1708.786","1757.127","1748.243","1768.259","1775.754","1772.343","1833.556","1823.389","1858.243","1942.097","2059.684","2187.987","2333.44","2319.381","2350.308","2517.379","2664.897","2777.333","3042.797","3327.849","3717.458","4025.189","4475.915","4757.704","4984.57","4925.519","5274.408","5577.114","5921.025","6273.654","6641.214","7026.262"
"Kiribati","916.857","986.431","1010.521","1045.987","1088.03","1040.551","1045.548","1049.564","1156.887","1136.368","1134.645","1158.017","1182.972","1206.422","1236.106","1243.179","1258.974","1284.004","1364.188","1336.633","1423.663","1408.424","1460.6","1490.24","1478.3","1571.008","1583.272","1623.532","1585.949","1576.537","1546.488","1582.807","1666.903","1744.314","1740.906","1914.749","2007.398","2036.105","2135.165","2220.828","2199.787","2242.173","2311.454","2378.927","2438.6","2495.056","2551.872"
"Korea, Republic of","2171.776","2510.037","2843.067","3300.581","3734.148","4113.525","4625.428","5290.534","6073.921","6691.993","7553.405","8565.315","9207.381","9971.954","11017.469","12206.532","13283.694","14212.673","13537.337","15199.123","16805.708","17870.016","19442.367","20321.075","21865.914","23468.609","25318.396","27367.743","28523.246","28819.823","30984.877","32546.752","33557.124","34244.314","35324.502","37907.502","39567.016","41001.064","43001.287","44573.142","44620.992","47026.617","49410.544","51797.004","54114.424","56418.045","58779.717"
"Kosovo","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4864.564","5521.2","5456.257","5775.449","5749.134","6080.022","6386.747","7001.273","7366.66","7567.449","7785.873","8272.936","8437.68","8793.248","9082.389","9666.188","10028.427","10486.488","11183.379","11897.664","11274.282","11948.525","12839.67","13600.831","14383.445","15192.028","16032.066"
"Kuwait","33634.667","28558.155","26249.423","27445.435","29289.812","27227.94","28479.888","29899.496","26451.001","32958.467","24868.499","23753.655","42536.929","56457.219","50652.129","49090.222","47159.959","46524.67","47436.048","47591.453","51806.047","50941.465","50866.511","57766.469","60767.685","63496.523","66100.233","67358.317","69508.439","64277.472","61763.079","66969.827","72735.933","70727.47","64038.479","43308.023","40844.217","46479.257","46273.874","46017.841","41626.899","41506.862","42626.932","43439.788","44199.605","44920.614","45617.885"
"Kyrgyz Republic","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2074.989","1817.116","1481.791","1424.531","1529.412","1686.183","1715.243","1775.752","1887.347","2011.847","2024.365","2187.034","2375.283","2415.085","2539.138","2798.607","3044.745","3121.658","3102.508","3319.628","3654.196","4083.205","4325.505","4259.042","4727.851","5094.365","5296.615","5515.665","5036.034","5322.613","5574.447","5825.127","6065.018","6306.874","6548.603"
"Lao P.D.R.","541.172","670.359","728.557","760.214","816.203","894.187","930.03","917.755","904.2","1003.828","1070.581","1118.011","1188.74","1252.641","1347.299","1436.085","1527.087","1624.83","1682.03","1744.281","1866.415","1966.643","2101.277","2238.566","2426.807","2634.43","2909.422","3168.561","3424.299","3643.343","3917.279","4251.549","4841.643","5289.476","5873.755","6168.456","6843.568","7255.165","7775.295","8164.694","8110.929","8519.443","9071.478","9677.318","10304.532","10985.542","11694.043"
"Latvia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","5956.721","5418.954","5745.154","6034.582","6382.22","7138.892","7753.506","8153.614","8873.525","9757.566","10762.278","11998.215","13502.987","15600.504","18175.69","20712.385","20571.263","18010.431","17765.05","19736.558","21297.727","22686.91","23712.311","24860.354","26579.685","28547.993","30657.264","32076.082","31509.061","33393.891","35995.052","38317.385","40468.122","42653.194","44853.409"
"Lebanon","6225.29","6837.534","4568.27","5789.879","8614.514","10988.455","10415.532","12425.576","9177.508","5428.593","4742.664","6500.824","6599.037","6849.71","7208.573","7559.866","7826.645","8658.357","9010.866","8936.597","9008.477","9209.838","9231.366","9113.37","9662.104","9954.993","10281.717","11522.573","12818.998","14095.561","14961.727","14669.416","14819.591","14976.781","15029.61","15067.768","15479.82","15987.654","15962.42","15166.989","11564.192","no data","no data","no data","no data","no data","no data"
"Lesotho","485.278","533.444","582.866","608.051","669.556","697.17","722.091","721.954","783.995","835.6","886.998","947.51","990.287","1027.844","1074.249","1072.833","1155.498","1215.422","1245.404","1282.492","1374.401","1449.443","1494.434","1582.936","1663.248","1767.067","1899.506","2034.193","2137.304","2146.899","2267.381","2415.582","2454.056","2748.731","2992.192","3210.948","3101.369","2752.736","2771.523","2831.973","2717.757","2828.826","2980.081","3130.969","3213.323","3295.697","3422.707"
"Liberia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","978.082","990.496","1026.141","729.642","764.28","812.541","877.29","979.135","1015.73","1034.655","1074.677","1146.18","1240.49","1433.359","1466.594","1357.312","1481.815","1662.309","1680.18","1625.553","1556.992","1601.567","1673.296","1750.679","1844.145","1936.927","2035.654"
"Libya","36300.894","30373.419","31264.836","29710.153","27055.9","28237.127","24579.56","20603.003","20338.629","21672.621","24751.999","28916.372","28128.091","27103.234","27671.397","24228.249","24850.585","24717.101","24453.677","24529.814","25549.594","25259.272","25032.111","28390.381","29957.931","34063.334","36718.631","39476.289","32390.973","31237.638","32167.765","11167.411","23665.799","15877.89","8573.419","7671.709","7996.689","10708.893","12798.804","14599.419","5893.257","13723.265","14651.097","15557.13","15841.479","16699.49","17549.966"
"Lithuania","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","6862.911","7410.878","8225.482","9005.132","9095.207","9710.226","10658.129","11650.798","13228.094","14640.13","16530.497","18587.695","21460.566","22682.062","19680.837","20667.904","22884.952","24703.756","26721.624","28184.346","28842.243","30922.135","33826.612","36347.517","38703.911","38824.046","40784.265","43048.979","45373.823","47588.774","49806.011","51885.472"
"Luxembourg","15675.878","17243.814","18484.398","19570.688","21218.484","23070.389","25764.874","27267.596","30356.332","34298.059","37052.628","41058.149","42180.444","44360.657","46363.486","47788.747","48693.061","51806.494","55103.634","59854.772","65409.509","67693.526","70578.695","72368.213","75873.586","79621.848","84834.362","92983.495","92106.768","87019.06","90740.647","93174.755","92685.873","96715.34","102520.811","104975.81","111756.785","113905.411","118003.885","120490.76","118001.58","122740.162","127612.738","131971.081","135792.741","139277.046","142726.477"
"Macao SAR","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","36037.282","39487.734","44283.025","55600.127","59192.711","65224.333","73156.681","75550.571","78105.998","97041.093","119402.985","129875.833","145946.787","141806.572","108289.623","109213.619","120286.603","128329.594","124903.508","56077.875","90606.469","129941.39","136860.708","142954.163","149133.768","154946.558"
"Madagascar","1014.914","975.63","990.087","1011.61","1038.895","1055.17","1067.226","1075.139","1117.723","1173.515","1212.975","1141.058","1146.43","1162.87","1151.667","1159.278","1168.872","1194.691","1216.385","1251.887","1295.849","1360.816","1174.411","1274.2","1336.765","1401.926","1478.502","1559.229","1648.503","1550.577","1534.89","1548.329","1530.939","1535.496","1555.829","1546.837","1607.581","1586.398","1633.54","1692.139","1599.044","1639.168","1717.507","1806.144","1894.072","1980.908","2069.489"
"Malawi","357.252","360.389","382.382","400.844","422.711","436.298","420.489","411.866","414.177","414.449","437.618","480.586","450.041","502.385","457.086","524.579","576.1","609.443","605.964","619.408","622.489","596.718","594.212","625.85","663.045","692.099","725.927","794.529","847.98","899.693","945.512","983.784","957.191","1026.14","998.44","946.405","956.775","945.343","970.769","1003.658","993.313","1004.729","1063.624","1125.949","1187.734","1250.749","1312.862"
"Malaysia","3341.494","3817.222","4186.966","4510.591","4913.427","4867.429","4888.583","5145.297","5714.368","6323.369","6853.696","7644.892","8281.614","9062.957","9837.985","10743.506","11727.81","12482.65","11398.812","11963.808","12960.582","12966.523","13542.852","14251.142","15274.476","16176.88","17364.616","18766.506","19692.636","19206.967","20523.282","21701.738","22963.302","23224.571","24273.001","24074.09","24779.859","25897.244","27475.372","29042.99","27402.241","29340.378","31407.019","33529.857","35613.853","37688.377","39865.955"
"Maldives","1601.151","1819.497","2012.851","2106.937","2474.984","2794.493","2981.738","3242.103","3556.71","3937.254","3772.058","3980.786","4215.969","4428.269","4735.885","5095.188","5539.203","6091.581","6625.298","7062.884","7452.91","7711.554","8175.74","10276.797","11019.35","9727.395","12417.892","13469.269","14805.159","13611.169","14526.579","15834.725","16435.788","18250.006","20337.738","21931.337","23409.634","24928.287","27146.22","29073.294","19608.983","23342.544","26617.244","30151.208","32192.116","34080.814","36023.167"
"Mali","542.162","566.498","521.351","547.609","569.041","594.284","631.997","653.587","667.818","757.929","846.511","925.29","911.57","942.944","973.638","996.68","1060.339","1101.415","1117.234","1173.211","1166.903","1337.708","1360.665","1467.366","1483.657","1578.93","1648.389","1695.04","1751.065","1786.499","1844.027","1883.117","1816.694","1866.331","1971.765","2093.229","2255.12","2315.163","2409.906","2493.659","2400.817","2468.625","2597.775","2707.889","2818.231","2929.311","3042.059"
"Malta","5859.512","6529.764","6898.763","7091.076","7465.797","7820.068","8064.22","8672.959","9525.505","10499.79","11289.292","12036.9","13164.956","13868.468","14669.568","15866.651","16715.745","17687.729","18361.758","19219.113","19335.774","19395.211","20042.28","21104.181","21563.196","22827.26","23969.685","25749.618","27106.78","26800.415","28401.415","29062.601","30423.681","32560.229","34754.607","37922.113","40252.954","43991.844","45846.932","47468.474","42856.402","45041.655","48148.455","51145.922","54311.265","57583.096","60984.078"
"Marshall Islands","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2097.61","2075.304","2048.228","2109.137","2331.967","2498.006","2490.365","2527.015","2629.131","2688.511","2837.123","2672.437","2773.451","2960.819","2989.717","2969.491","3127.36","3140.979","3208.112","3276.178","3434.342","3610.726","3891.788","3786.263","3767.292","3955.76","4113.44","4249.548","4376.059","4493.559"
"Mauritania","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2756.875","2773.795","2809.003","2961.061","2850.807","3107.702","3255.539","3089.035","3120.592","3313.637","3162.598","3114.635","3116.024","3297.611","3447.929","3755.097","4723.986","4625.117","4574.254","4494.218","4548.418","4715.713","4754.599","5098.713","4662.137","4585.9","5158.554","5601.833","5727.328","6020.416","5833.875","5992.652","6328.324","6807.737","7116.605","7360.056","7612.805"
"Mauritius","1997.991","2281.605","2524.697","2609.533","2803.326","3065.696","3405.949","3816.247","4190.197","4514.213","4984.092","5323.429","5723.549","6084.36","6381.337","6736.314","7169.269","7611.773","8079.438","8303.861","9095.13","9517.859","9757.762","10457.759","11131.006","11575.68","12406.311","13407.996","14353.133","14902.368","15698.528","16653.244","16963.511","17866.307","18484.03","19225.922","20700.777","21415.336","22736.426","23818.571","20292.269","22029.82","23704.34","25212.54","26643.927","28066.948","29611.248"
"Mexico","5991.453","6942.077","7156.445","7009.677","7339.91","7567.601","7322.457","7474.098","7679.096","8145.991","8720.289","9222.166","9591.458","9912.822","10446.983","9833.816","10525.87","11268.292","11809.463","12137.416","12850.296","12906.555","12926.208","13175.395","13874.204","14443.015","15333.359","15870.665","16118.228","15150.744","15877.579","16567.23","17212.608","17428.64","18119.833","18382.238","19422.129","19933.504","20646.087","20795.81","19130.104","20266.323","21159.215","21911.818","22637.122","23361.868","24097.209"
"Micronesia, Fed. States of","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","2058.441","2026.66","1932.11","2002.773","2057.848","2200.869","2302.375","2359.566","2448.656","2442.385","2577.351","2666.005","2698.484","2704.649","2767.805","2878.425","3026.977","3022.18","2956.876","2937.041","3096.639","3151.809","3291.455","3371.741","3467.076","3445.598","3372.363","3538.953","3686.662","3781.46","3872.172","3961.6"
"Moldova","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","4401.268","4463.047","3146.258","3169.862","3047.145","3159.758","2992.281","2936.997","3073.258","3338.945","3665.929","3992.45","4411.887","4904.806","5308.852","5628.23","6194.235","5873.257","6369.391","6882.486","7329.152","8345.09","8789.288","9221.849","10527.014","11547.401","12521.217","13440.458","12811.316","13878.984","15028.536","16304.265","17659.225","19102.817","20646.388"
"Mongolia","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","3607.049","3305.095","3011.438","2957.588","3056.345","3270.234","3355.156","3497.65","3604.157","3715.493","3794.736","4008.978","4229.066","4569.971","5081.062","5516.063","6070.343","6683.047","7220.339","6992.835","7468.777","8781.925","10074.011","10375.299","10850.233","10558.187","10523.746","11083.557","11944.443","12558.483","11825.249","12431.084","13443.689","14342.674","15139.965","15969.41","16764.017"
"Montenegro","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","no data","8277.436","8518.231","8782.701","9132","9772.914","10485.174","11718.159","12834.508","13998.91","13259.574","13751.795","14471.959","13863.936","14870.353","15371.392","16336.11","18197.604","19703.459","21207.89","22446.939","19252.303","21354.862","23024.199","24495.84","25786.248","27060.383","28371.899"
