Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
FRA,1984,France,56337666.0,1117180310428.456,1618038321746.1602,2307.3459905611085
FRA,1985,France,56654696.0,1129920652615.1443,1638037495706.4792,2382.8619649228704
FRA,1986,France,56976123.0,1537385017624.521,1678621342528.7356,2440.7778775247293
FRA,1987,France,57302663.0,1795535304733.728,1702876153846.154,2484.3884975192764
FRA,1988,France,57627105.0,1882243812500.0,1773104875000.0,2516.270355780682
FRA,1989,France,57940212.0,1804851411924.12,1834088070460.7048,2551.210192998349
FRA,1990,France,58235697.0,2122902357326.478,1857676578406.1697,2628.6471943372644
FRA,1991,France,58559311.0,2039636041949.414,1862818173966.6875,2794.177818574584
FRA,1992,France,58851217.0,2183113195209.581,1878947492215.569,2815.385678712644
FRA,1993,France,59106768.0,1998672474418.605,1855809462790.698,2814.943136946485
FRA,1994,France,59327192.0,2055391829931.973,1891743757369.6145,2777.668325031086
FRA,1995,France,59541899.0,2292794641675.8545,1917739902976.8467,2844.387302732867
FRA,1996,France,59753100.0,2231941573875.803,1923199627408.9937,2951.451552171391
FRA,1997,France,59964851.0,1975941800104.6572,1957019935112.5063,2911.283735857071
FRA,1998,France,60186288.0,2014153435051.5464,2019424385567.0105,2979.5630366428577
FRA,1999,France,60496718.0,1956666598083.712,2072732540595.058,3030.5125238187834
FRA,2000,France,60912500.0,1730130160000.0,2130234544390.244,3069.4090016168757
FRA,2001,France,61357430.0,1696595603415.56,2159053053130.9304,3105.7778592941363
FRA,2002,France,61805267.0,1818348929971.9888,2182907561157.7964,3075.069896502486
FRA,2003,France,62244886.0,2185954094977.1687,2192612420091.3245,3107.1873522733936
FRA,2004,France,62704895.0,2445562434859.938,2254615034237.439,3132.5682172723396
FRA,2005,France,63179351.0,2454375638709.677,2286248629677.4194,3115.3017997690185
FRA,2006,France,63621381.0,2510179485000.0005,2337721796666.667,3089.266851993573
FRA,2007,France,64016225.0,2798909797406.808,2390985423014.587,3034.582691671276
FRA,2008,France,64374984.0,2967708103004.292,2353124600858.369,3042.9874892206058
FRA,2009,France,64707040.0,2742322310101.8013,2311051899765.0747,2873.5057862782246
FRA,2010,France,65027507.0,2647348000000.0,2344996000000.0,2958.770809347456
FRA,2011,France,65342780.0,2776937710231.516,2371564264376.4004,2844.195172513615
FRA,2012,France,65659809.0,2550758549579.2173,2349987918038.7856,2840.2532644335784
FRA,2013,France,65998687.0,2632433872340.426,2442022468085.1064,2864.6442964728894
FRA,2014,France,66312067.0,2631652163236.338,2452319967352.7324,2741.928994541505
